Version,Fecha,Seccion Afectada,ResDonsable
1.0,30-Sep-2009,Elaboracion,"Marfa Rosa Elva
Mendoza"
2.0,05-0ct-2009,Todas,"Marfa Rosa Elva
Mendoza"
3.0,07-Oct- 2009,"Proceso, Matriz de Responsabilidades y Hoja de firmas","Marfa Rosa Elva
Mendoza"
4.0,13-0ct- 2009,"Proceso, Matriz de Responsabilidades y Hoja de firmas.
Comentarios aplicados al WLA derivado de la reunion con las
areas involucradas en el soporte del servicio.","Marfa Rosa Elva
Mendoza"
5.0,16-0ct-2009,"Ajuste de diagramas, Hoja de Firmas, Matriz de
Responsabilidades Activaciones","Marfa Rosa Elva
Mendoza"
6.0,19-0ct-09,Matiz de Responsabilidades Post-venta,"Maria Rosa Elva
Mendoza"
